mask_id,2007-07-01,2007-08-01,2007-09-01,2007-10-01,2007-11-01,2007-12-01,2008-01-01,2008-02-01,2008-03-01,2008-04-01,2008-05-01,2008-06-01,2008-07-01,2008-08-01,2008-09-01,2008-10-01,2008-11-01,2008-12-01,2009-01-01,2009-02-01,2009-03-01,2009-04-01,2009-05-01,2009-06-01,2009-07-01,2009-08-01,2009-09-01,2009-10-01,2009-11-01,2009-12-01,2010-01-01,2010-02-01,2010-03-01,2010-04-01,2010-05-01,2010-06-01,2010-07-01,2010-08-01,2010-09-01,2010-10-01,2010-11-01,2010-12-01,2011-01-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,score_annual_inc,score_delinq_2yrs,score_emp_length,score_home_ownership,score_inq_last_6mths,score_int_rate,score_pub_rec,score_purpose,score_term
0.0DEQ#14.5<x<16.5#60M#1OR2ENQ#>2 years#D#1.0PUB#OWN#>50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013029366725943474,0.013029460519299763,0.010023605274641014,0.010005284830244219,0.011190984839318513,0.01155024887224166,-0.09822990579202939,0.012923937248093521,0.012923941440752658,0.012923945654279219,0.013072493244245743,0.012947913873642745,0.013003935055789577,0.01306722584803167,0.013067237374691596,0.012162357187398264,0.012158050984112496,0.012153640489338811,0.011983910039328619,-0.05152104942645872,0.012363151225763133,0.01235859501735846,-0.0004086550860250795,-0.019661479672473326,0.011794312100428484,0.01178274388045562,0.011305932422654156,-0.04076137224437657,-0.021346883445458202,-0.04167929830078828,0.012473737145444558,0.012052813625680704,-0.06484413988167234,0.013100028113338536,0.013104027886384992,0.013135669892503605,0.012389457200231276,0.012433346012543603,-0.04643768186331398,0.013157408921422963,0.013153759767663288,0.013151986946173404,0.01314857571646261,0.013150179537599177,0.01300843495314017,0.012810132511524311,0.012809776229733142,0.0002983037377939739,0.00354126515804811,0.013062114589173,0.01307470877444297,0.013065937652385593,0.01304201572986235,0.012582931494581522,0.012501767193467055,0.012640118490278938,0.010837368809687161,-0.02013159407926517,0.007429972996693314,0.0071912356651259455,>50k,0.0DEQ,>2 years,OWN,1OR2ENQ,14.5<x<16.5,1.0PUB,D,60M
0.0DEQ#14.5<x<16.5#60M#1OR2ENQ#>2 years#D#1.0PUB#RENT#<50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012674999999999999,0.012983333333333333,0.013018298969072153,0.013018309385511519,0.012853323227803031,0.00968458112629603,0.009684589068101242,0.009684597053378576,0.006361688415626848,-0.24363830351234386,0.008482272806749186,0.008482283687928284,-0.24030702902986317,0.012923972294694856,0.012923983354173005,0.012923994473666914,0.01292400565349571,0.01272352534099764,0.012723542293304666,0.01300737289182948,0.013007384316625481,0.013007395803704616,0.011618104444748374,0.011599183079406947,-0.10093443817276414,0.013075000000000026,0.013074999999999934,0.013075000000000054,0.013075000000000022,0.013075000000000015,0.013075000000000047,0.013074999999999948,0.01319999999999993,0.013200000000000095,0.013230083333333326,0.01324933261185957,0.013247698019105891,0.01339673770919389,0.013280497890010061,0.013315740740740774,0.013232500000000041,0.013238636363636536,0.013190080974113698,0.012163285224890184,0.014022965619472767,0.013079522123050386,0.013157509949724658,0.01314000443752004,0.013358349324028742,0.013117218860828148,0.013128192669383518,0.013152010175735133,0.013252743564091831,0.013152222461209938,0.012904442075424067,0.012384714584355734,-0.03530272821411321,0.012949151301762035,<50k,0.0DEQ,>2 years,RENT,1OR2ENQ,14.5<x<16.5,1.0PUB,D,60M
0.0DEQ#14.5<x<16.5#60M#1OR2ENQ#>2 years#D#1.0PUB#RENT#>50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012674999999999999,0.01289092039800995,0.012890968166044868,0.012891016200965274,0.012891064503347194,0.012735742049172839,0.012735774608508702,0.012812272177123149,0.012812296866044584,0.012812321690082448,0.012812346649502891,0.012812371744568396,0.012914917580430318,0.012966327028043035,0.012966345645699628,0.012966364360310553,0.010431383172067984,0.010431402081167792,0.010431421087810158,0.010293333333333349,-0.1897066666659341,0.012866666666666663,0.013008333333333344,0.013008333333333339,0.010523333333333326,0.010523333333333313,0.01052333333333336,0.010523333333333338,-0.15570224807794383,0.01315666666666665,0.013156666666666678,0.01318514309764311,0.013240839014482923,0.013240841099583697,0.013175588409205047,0.011719043246720379,0.014474598449786703,0.013154679687151661,0.013168100204250943,0.01318034206431971,0.013185289085204931,0.013157725855640602,0.013113214257518447,0.013097234861342021,0.013089009747888914,0.013072207749571628,0.013107791256869634,0.013112640189996763,0.013109451658278863,0.013075408379698639,0.012541663999065221,0.0130931202752841,0.012806304802235215,0.010467183642076744,0.013079554155542204,0.013102898381635012,0.012891985496651544,>50k,0.0DEQ,>2 years,RENT,1OR2ENQ,14.5<x<16.5,1.0PUB,D,60M
0.0DEQ#14.5<x<16.5#60M#1OR2ENQ#>2 years#H#0.0PUB#OWN#<50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012606581828133531,0.012606585411630969,0.012606589013916113,0.012606592635033474,0.012606596275028421,0.01260659993394617,0.012606603611832808,0.012949136987700872,0.013082759230455621,0.013228737023277487,0.01321206871048318,0.010861191548800083,0.015132230483250594,0.013179868309514387,0.013179887187404744,0.013179906164650665,0.012344650838926025,0.012339060244816989,0.012333317380320714,0.012327416391416168,-0.0521381471725582,0.01311581969408768,0.01311582497702225,0.0131158302871882,0.013115835624637234,0.0131221941990773,0.01312219891722892,0.013122203659393704,0.013122208425620861,0.013122213215961373,0.013122218030468247,0.013127161068916008,0.013131115519098744,0.01313111942898108,0.013130149109283198,0.013169643381149466,0.01315728135066759,0.013158441250822285,0.012077588955761784,0.01207750009397716,0.011888262720601561,0.01192002847343653,-0.0596223487706634,0.01267432376557138,-0.009218460908227605,0.012965584032712788,0.012937302370440645,0.01296259760478954,0.012968995357805855,0.01219492058831048,0.014094788446039964,0.012955146403193224,0.01296341923480456,0.012958751861331108,0.012958775453951363,0.012989579279303996,0.013293964937973954,0.012959559725977392,0.011999763685914393,-0.010552911775655116,<50k,0.0DEQ,>2 years,OWN,1OR2ENQ,14.5<x<16.5,0.0PUB,H,60M
0.0DEQ#14.5<x<16.5#60M#1OR2ENQ#>2 years#H#0.0PUB#OWN#>50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01339166666666665,0.013391666666666708,0.013397138554216842,0.01336199689303174,0.013190259460574123,0.013087217053021915,0.013068522157987511,0.013100406793969146,0.013100413680244545,0.01305453469500616,0.013041690575037899,0.01302358774121103,0.01299499525594644,0.013004113467448328,0.01302882323326336,0.01302281773244862,0.013070763333001877,0.013016882514914133,0.012321167558911673,0.01225293892308666,0.012884746258482776,0.012675932943828808,-0.010096310337597395,0.012913500429372435,0.011628856918915995,0.013126121488634861,0.012530816611218949,0.012451768411416899,0.011392182550412145,-0.012222876508550149,0.012597475393211821,-0.024909262758558044,0.012615566121528575,-0.000306166464622097,0.010073479551759787,8.981503130650083e-05,0.012113714626785881,0.012637168914887685,-0.01947884585557041,-0.018903526268643743,0.013559452259651042,-0.018145724831994593,0.012730237299294116,0.012575741631743437,0.012119474298883904,-0.015773515365229886,0.012619667258415974,0.007900869066850011,0.012376526696612666,0.0011207866512929275,3.2320817408828045e-05,-0.015277956956670854,0.012846853435437428,0.012866370181645671,0.012442946918560608,0.008927541894392701,0.006663430659662752,-0.0023890557368139924,0.003260263220770386,0.012824348478184974,0.012750156024264808,>50k,0.0DEQ,>2 years,OWN,1OR2ENQ,14.5<x<16.5,0.0PUB,H,60M
0.0DEQ#14.5<x<16.5#60M#1OR2ENQ#>2 years#H#0.0PUB#RENT#<50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013574999999999999,0.013575,0.013575,0.013575000000000004,0.01357499999999996,0.013574999999999945,0.013404166666666622,0.013404166666666675,0.01340416666666666,0.013404166666666691,0.013404166666666696,0.013404166666666623,0.013404166666664845,0.013404166666665954,0.01340416666666537,0.013461111111112046,0.013461111111108412,0.013489583333333263,0.013489583333334776,0.013489583333333159,0.013489583333335577,0.01348958333333413,0.013390000000004764,0.013391792929344075,0.013391801442087847,0.013391810002365867,0.013415482728647947,0.01413458784279857,<50k,0.0DEQ,>2 years,RENT,1OR2ENQ,14.5<x<16.5,0.0PUB,H,60M
0.0DEQ#14.5<x<16.5#60M#1OR2ENQ#>2 years#H#0.0PUB#RENT#>50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012358333333333334,0.012512499999999996,0.012512500000000003,0.01268888888888889,0.012688888888888835,0.012688888888888895,0.012688888888888888,0.012688888888888911,0.01268888888888891,0.012847916666666657,0.012847916666666648,0.012847916666666685,0.012847916666666669,0.012847916666666646,0.01284791666666666,0.012847916666666678,0.01284791666666664,0.012908333333333364,0.012908333333333284,0.012908333333333341,0.012908333333333383,0.012908333333333378,0.008466666666666662,0.00846666666666662,0.008466666666666707,0.008466666666666617,-0.3248666666699596,0.012699999999999951,0.012699999999999975,0.012855555555555532,0.012831249999999985,0.009539583333333296,0.016122916666666643,0.012801666666666645,0.012765277777777799,0.010989285714285726,0.010989285714285693,0.01124166666666665,0.011241666666666476,-0.1137583333334553,0.012867708333333689,0.012867708333335347,0.011272916666667892,0.01102500000000354,0.011272916666669549,0.011465740740741824,-0.08843166666373654,0.012853703703667656,0.012853703703795719,0.012853703703789538,0.012853703703690485,0.012853703703715105,0.012853703703842832,0.012853703703779036,0.012853703703597289,>50k,0.0DEQ,>2 years,RENT,1OR2ENQ,14.5<x<16.5,0.0PUB,H,60M
0.0DEQ#14.5<x<16.5#60M#1OR2ENQ#>2 years#H#1.0PUB#OWN#<50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012733333333333376,0.012733333333333385,0.01273333333333334,0.012733333333333345,0.012733333333333331,0.012733333333333338,0.012733333333333324,0.012733333333333288,0.012733333333333291,0.012733333333333338,0.012733333333333267,0.012733333333333336,0.012733333333333366,0.012733333333333338,0.012733333333333267,0.012733333333333303,0.01273333333333332,,,,,,,,0.012758333333333313,0.012758333333333332,0.0127583333333333,0.012758333333333307,0.012879671717171713,0.01287968969647594,0.012879707771480698,0.012879725942361971,0.01287974420929253,0.012879762572450394,0.012879781031995429,0.012922644169845706,0.012922656605070873,0.012873630616547192,0.012797250296858742,0.012746330138208454,0.012746340639173667,0.012783777214608933,0.012803334244929042,0.012803350234510092,0.012803366308069886,0.01284450495281164,0.012844535233241021,0.012844565674466327,0.012844596276689678,<50k,0.0DEQ,>2 years,OWN,1OR2ENQ,14.5<x<16.5,1.0PUB,H,60M
0.0DEQ#14.5<x<16.5#60M#1OR2ENQ#>2 years#H#1.0PUB#OWN#>50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012555666666666639,0.013077837439748989,0.013077841567566974,0.013077845716838447,0.013274122147298896,0.013274124942188277,0.013274127751484491,0.01303684793141762,0.013036850060081265,0.013036852199632219,0.01303685435009897,0.0128711518758753,0.012942628011487418,0.012871155360499464,0.012871157116044646,0.012871158880447108,0.012871160653734736,0.01285235758550271,0.01285235907812487,0.012852360578227959,0.01226267911015655,0.011596757509168292,0.010954405660267263,0.01095440688608714,0.01135517415090771,0.01179304440827995,-0.11376905742002125,0.012835364183252628,0.01292781973660033,0.012961893065817553,0.012961900646197804,0.012961908260893447,0.012961915909259956,0.012980379016531382,0.012982770802348201,0.012984235646995614,0.01298000147268432,0.01297469671253197,0.013018471349603215,0.012968992958555295,0.012965618709696368,0.012985184592641764,0.012980801473227829,0.01298630738786487,0.012989399307579272,0.012963489492691969,0.012842621868476966,0.01291058224980638,0.012884188639898065,0.012934558994245558,0.007217096828231549,0.01336702024778644,0.012534300409652976,0.013565794120566197,>50k,0.0DEQ,>2 years,OWN,1OR2ENQ,14.5<x<16.5,1.0PUB,H,60M
0.0DEQ#14.5<x<16.5#60M#1OR2ENQ#>2 years#H#1.0PUB#RENT#<50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0136,0.013599999999999998,0.0136,0.013599999999999984,0.013600000000000017,0.01359999999999997,0.013599999999999965,0.01360000000000001,0.013600000000000022,0.013599999999999965,0.013599999999999975,0.013600000000000001,0.01360000000000001,0.01359999999999999,0.013599999999999977,0.013599999999999996,0.013600000000000032,0.013600000000000032,0.013599999999999958,0.013600000000000003,0.013599999999999952,0.013599999999999954,0.013599999999999933,0.013599999999999939,0.013599999999999952,0.013600000000000072,0.013600000000000055,0.013600000000000029,0.013600000000000015,0.013600000000000053,0.013599999999999942,0.013600000000000029,0.013600000000000025,0.013141666666666635,0.013141666666666699,0.013141666666666697,0.013141666666666687,0.013141666666666638,0.013141666666666645,0.013141666666666666,0.013141666666667301,0.013141666666662156,0.013141666666670108,0.013141666666664917,0.013141666666673772,0.01314166666666405,0.013141666666665764,0.01314166666666415,0.01314166666665939,0.013141666666665813,0.0131416666666637,0.013141666666965743,0.013141666666440037,0.0131416666669,0.013141666666922644,0.013141666666030007,<50k,0.0DEQ,>2 years,RENT,1OR2ENQ,14.5<x<16.5,1.0PUB,H,60M
0.0DEQ#14.5<x<16.5#60M#1OR2ENQ#>2 years#H#1.0PUB#RENT#>50k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0122,0.012199999999999999,0.012199999999999999,0.012199999999996693,0.012457716049381078,0.012457751721911927,0.012457787590299129,0.011003094618759566,0.01099320713270807,0.010983078976216972,0.01097270220866433,-0.13087450300904768,0.012911666666596513,0.012911666666667121,0.012911666666657351,>50k,0.0DEQ,>2 years,RENT,1OR2ENQ,14.5<x<16.5,1.0PUB,H,60M
